post_id,platform,post_type,post_date,day_of_week,posting_hour,caption_length,hashtags_count,likes,comments,shares,saves,engagement_rate
1,Instagram,Reel,27-02-2024,Tuesday,9,299,2,254,764,283,251,6.110236220472441
2,Instagram,Carousel,04-08-2024,Sunday,6,121,20,310,35,97,224,2.1483870967741936
3,Facebook,Reel,06-10-2024,Sunday,11,236,10,3486,230,461,604,1.3714859437751004
4,Instagram,Image,22-05-2024,Wednesday,9,203,11,1323,225,346,105,1.5109599395313682
5,Instagram,Image,15-05-2024,Wednesday,8,170,20,405,752,472,550,5.380246913580247
6,Twitter,Reel,04-07-2024,Thursday,15,60,7,4779,201,73,47,1.0671688637790333
7,Facebook,Reel,21-02-2024,Wednesday,17,201,6,3163,289,466,651,1.4445147012330066
8,Twitter,Reel,16-05-2024,Thursday,11,256,12,634,628,177,547,3.132492113564669
9,Instagram,Reel,18-05-2024,Saturday,16,225,8,4612,229,334,58,1.1346487424111016
10,Twitter,Image,03-02-2024,Saturday,18,254,4,1778,585,324,218,1.6338582677165354
11,Facebook,Carousel,15-05-2024,Wednesday,19,224,11,1193,257,576,552,2.1609388097233864
12,Instagram,Reel,22-04-2024,Monday,10,101,13,1183,526,507,94,1.952662721893491
13,Facebook,Carousel,02-02-2024,Friday,6,78,17,3202,395,481,542,1.4428482198625858
14,Instagram,Image,16-05-2024,Thursday,6,154,16,2836,119,302,446,1.3057122708039492
15,Twitter,Carousel,01-04-2024,Monday,12,98,11,4208,113,307,655,1.2554657794676807
16,Facebook,Image,23-03-2024,Saturday,6,77,11,4468,548,2,614,1.260519247985676
17,Instagram,Reel,06-06-2024,Thursday,21,55,17,2011,64,248,581,1.444057682744903
18,Instagram,Image,05-03-2024,Tuesday,22,236,6,1101,680,488,563,2.5722070844686646
19,Twitter,Carousel,03-10-2024,Thursday,17,244,16,1697,735,321,409,1.8632881555686505
20,Facebook,Reel,19-08-2024,Monday,23,137,18,1041,258,232,66,1.5341018251681076
21,Instagram,Reel,22-04-2024,Monday,16,56,16,108,77,62,235,4.462962962962963
22,Twitter,Reel,01-05-2024,Wednesday,21,144,15,2331,690,499,220,1.6044616044616045
23,Facebook,Image,27-07-2024,Saturday,19,230,14,1609,101,101,675,1.5450590428837787
24,Instagram,Reel,28-01-2024,Sunday,12,117,17,856,67,414,348,1.9684579439252337
25,Facebook,Reel,17-08-2024,Saturday,8,246,17,1198,437,189,286,1.7612687813021703
26,Instagram,Reel,20-02-2024,Tuesday,11,228,15,464,672,555,16,3.6788793103448274
27,Facebook,Reel,03-09-2024,Tuesday,18,155,14,1801,415,62,169,1.3586896168795113
28,Twitter,Image,26-05-2024,Sunday,10,117,9,3515,718,571,678,1.559601706970128
29,Twitter,Image,21-04-2024,Sunday,7,45,18,529,598,557,63,3.3024574669187143
30,Twitter,Reel,01-09-2024,Sunday,11,55,19,4169,548,163,59,1.1846965699208443
31,Instagram,Carousel,04-02-2024,Sunday,7,61,13,1976,418,124,584,1.569838056680162
32,Instagram,Carousel,25-10-2024,Friday,16,142,8,4680,540,325,268,1.2420940170940171
33,Facebook,Reel,21-07-2024,Sunday,6,254,19,1122,692,309,469,2.3101604278074865
34,Twitter,Image,15-10-2024,Tuesday,10,198,2,869,80,552,219,1.9792865362485617
35,Twitter,Carousel,05-05-2024,Sunday,15,290,0,3077,296,163,449,1.2950926226844328
36,Facebook,Reel,10-10-2024,Thursday,9,99,8,2502,684,108,138,1.3717026378896882
37,Twitter,Carousel,24-05-2024,Friday,14,278,15,1775,739,353,209,1.7329577464788732
38,Instagram,Reel,08-05-2024,Wednesday,16,86,20,466,99,435,284,2.755364806866953
39,Twitter,Image,14-05-2024,Tuesday,23,24,3,1373,764,454,565,2.2986161689730515
40,Twitter,Carousel,08-02-2024,Thursday,10,240,4,1271,563,38,379,1.7710464201416207
41,Instagram,Carousel,22-01-2024,Monday,13,72,11,2575,378,42,367,1.3056310679611651
42,Instagram,Reel,13-10-2024,Sunday,19,32,5,3379,640,160,243,1.3086712044983724
